ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
635,,,Bryter Grønn #42532,1,,visible,This is an external product.,Til kjele og lys til popcorn- og sukkerspinnmaskiner,,,,,1,22,0,0,,,,,0,,,170,Deler og tilbehør,,,,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,0,,,,,,,,,1,,,,
453,,,BRYTER TIL CITATION (KJELE)#42798,1,,visible,,Priser inn/ut oppdatert 9/22,,,,,1,,0,0,,,,,0,,,345,Deler og tilbehør,,,,,,woo-hoodie,,,,,,0,Color,Blue,,1,Logo,Yes,,0,,,,,
659,,,Bubble Jungle / Display 48 stk.,1,,visible,,,,,,,1,5,0,0,,,,,0,,,225,Diverse Godteri,,,,,,,,,,,,,,,,,,,,,,,,,
557,,,BUBBLE WAFFLE BAKEPLATER,1,,visible,,,,,,,1,2,0,0,4.5,,,,0,,,3519,Vafler maskiner og utstyr,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,Bunnplate P-60 / #49211,1,,visible,,Priser inn/ut oppdatert 9/22,,,,,1,3,0,0,,,,,0,,,885,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,BÆREBRETT #2048,1,,visible,,Priser inn/ut oppdatert 9/22,,,,,1,,0,0,,,,,0,,,990,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,BØRSTER FLOSS BOSS/ECONOFLOSS #55007,1,,visible,,Priser inn/ut oppdatert 9/22,,,,,1,,0,0,,,,,0,,,182,Deler og tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,CANDY APPLE BAGS 1000 STK. #4007,1,,visible,,11/12,,,,,1,11,0,0,5,,,,0,,,650,Candy Apple tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,CANDY APPLE MIX 12X1.5 KG,1,,visible,,Oppdatert 02/23,,,,,1,12,0,0,18,,,,0,,,1690,Candy Apple tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,CANDY APPLE PINNER / 500 STK.,1,,visible,,11/12,,,,,1,54,0,0,1,,,,0,,,365,Candy Apple tilbehør,,,,,,,,,,,,,,,,,,,,,,,,,
